leaf_uid,registration_method,leaf_scale,pre_rotated,markers,warp_consistency,filtering_strategy,smoothing,fixed_image,moving_image,MSE,MAPE,NCC,MI,MI_Skimage,SSIM,IoU,Hausdorff
ESWW0090057_12,LoFTR + TPS Individual,roi,True,False,True,confidence,100,0,1,0.006899903528392315,57.70060348510742,0.06892529129981995,1.0250098705291748,1.146772408682403,0.5441514253616333,0.9688376784324646,10.049875259399414
ESWW0090057_12,LoFTR + TPS Individual,roi,True,False,True,confidence,100,0,2,0.01887189783155918,102.9664535522461,0.05632573366165161,1.0181331634521484,1.1248174127086539,0.51215660572052,0.9612718820571899,12.165525436401367
ESWW0090057_12,LoFTR + TPS Individual,roi,True,False,True,confidence,100,0,3,0.009811877273023129,68.21289825439453,0.043351054191589355,1.0176796913146973,1.1210125910373023,0.5060775279998779,0.9650549292564392,15.023639678955078
ESWW0090057_12,LoFTR + TPS Individual,roi,True,False,True,confidence,100,0,4,0.006968067027628422,59.91171646118164,0.06827779114246368,1.0246896743774414,1.1318950414270308,0.5106250643730164,0.9725090861320496,12.0
ESWW0090057_12,LoFTR + TPS Individual,roi,True,False,True,confidence,100,0,5,0.006069814786314964,53.125526428222656,0.03431050851941109,1.0179997682571411,1.13068799168348,0.5117397904396057,0.9689763188362122,10.160998344421387
ESWW0090057_12,LoFTR + TPS Individual,roi,True,False,True,confidence,100,0,6,0.025254717096686363,134.46853637695312,0.0830082967877388,1.0185649394989014,1.1274810206528927,0.5055739283561707,0.9724880456924438,11.0
ESWW0090057_12,LoFTR + TPS Individual,roi,True,False,True,confidence,100,0,7,0.007054782472550869,56.258445739746094,0.03403753042221069,1.0218602418899536,1.1256165799378957,0.503494381904602,0.9494619965553284,17.0
ESWW0090057_12,LoFTR + TPS Individual,roi,True,False,True,confidence,100,0,8,0.01805949956178665,102.40149688720703,0.004739896394312382,1.0136030912399292,1.102867654097937,0.4626025855541229,0.9630623459815979,13.0
ESWW0090057_12,LoFTR + TPS Individual,roi,True,False,True,confidence,100,0,9,0.014162161387503147,84.20570373535156,0.029619893059134483,1.008207082748413,1.0966091305993861,0.49462321400642395,0.9455302953720093,34.011932373046875
ESWW0090057_12,LoFTR + TPS Individual,roi,True,False,True,confidence,100,0,10,0.017383530735969543,94.34044647216797,-0.023700712248682976,1.0079811811447144,1.09728134273639,0.4587399661540985,0.94488126039505,16.0
ESWW0090057_12,LoFTR + TPS Individual,roi,True,False,True,confidence,100,0,11,,,,,,,,
ESWW0090057_12,LoFTR + TPS Individual,roi,True,False,True,confidence,100,0,12,0.012320052832365036,75.88673400878906,0.009080732241272926,1.006833553314209,1.1074182681161908,0.4920720160007477,0.9625130891799927,12.0
