leaf_uid,registration_method,leaf_style,fixed_image,moving_image,MSE,NCC,MI,SSIM,IoU,Hausdorff
ESWW0070020_1,Piecewise Affine,Leaf ROI,0,1,0.006813097279518843,0.015722185373306274,1.0091698169708252,0.3476645052433014,0.9487555623054504,62.9873161315918
ESWW0070020_1,Piecewise Affine,Leaf ROI,0,2,0.024688735604286194,0.010441366583108902,1.0055533647537231,0.27292361855506897,0.948639988899231,62.9873161315918
ESWW0070020_1,Piecewise Affine,Leaf ROI,0,3,0.010440545156598091,0.018857451155781746,1.0055187940597534,0.2914694547653198,0.9486811757087708,62.9873161315918
ESWW0070020_1,Piecewise Affine,Leaf ROI,0,4,0.033797487616539,0.022683603689074516,1.0066887140274048,0.24841950833797455,0.9487547278404236,62.9873161315918
ESWW0070020_1,Piecewise Affine,Leaf ROI,0,5,0.03539443016052246,-0.009654341265559196,1.004894495010376,0.24383234977722168,0.94874107837677,62.9873161315918
ESWW0070020_1,Piecewise Affine,Leaf ROI,0,6,0.01859010010957718,0.007438264787197113,1.0063321590423584,0.3636297285556793,0.9487300515174866,62.9873161315918
ESWW0070020_1,Piecewise Affine,Leaf ROI,0,7,0.0159149169921875,-0.008205616846680641,1.0049349069595337,0.33180496096611023,0.9487494826316833,62.9873161315918
ESWW0070020_1,Piecewise Affine,Leaf ROI,0,8,0.018963629379868507,0.03713640198111534,1.0052669048309326,0.307831346988678,0.9487124681472778,62.9873161315918
ESWW0070020_1,Piecewise Affine,Leaf ROI,0,9,0.023719336837530136,0.014704609289765358,1.004348874092102,0.30178940296173096,0.9487379193305969,62.9873161315918
ESWW0070020_1,Piecewise Affine,Leaf ROI,0,10,0.016248388215899467,0.021125663071870804,1.0044810771942139,0.3448818325996399,0.9484445452690125,62.9873161315918
ESWW0070020_1,Piecewise Affine,Leaf ROI,0,11,0.04333355277776718,0.027672123163938522,1.006034255027771,0.2954122722148895,0.9471817016601562,62.9873161315918
ESWW0070020_1,Piecewise Affine,Leaf ROI,0,12,0.047501277178525925,0.02419699914753437,1.003268837928772,0.290839821100235,0.9450600743293762,62.9873161315918
ESWW0070020_1,Piecewise Affine,Leaf ROI,0,13,0.018518511205911636,0.025904502719640732,1.004280686378479,0.32168638706207275,0.945734977722168,62.9873161315918
ESWW0070020_1,LoFTR + TPS Individual,Leaf ROI,0,1,0.004944993648678064,0.04353395849466324,1.0050283670425415,0.6128235459327698,0.9272132515907288,36.0
ESWW0070020_1,LoFTR + TPS Individual,Leaf ROI,0,2,0.021679380908608437,0.041923750191926956,1.002173662185669,0.5661029815673828,0.9065893292427063,33.0
ESWW0070020_1,LoFTR + TPS Individual,Leaf ROI,0,3,0.007982700131833553,0.05755336955189705,1.0020081996917725,0.6060221195220947,0.940062940120697,23.0
ESWW0070020_1,LoFTR + TPS Individual,Leaf ROI,0,4,0.02969331294298172,0.02684018574655056,1.003238558769226,0.5721011757850647,0.9505940675735474,18.0
ESWW0070020_1,LoFTR + TPS Individual,Leaf ROI,0,5,0.032152384519577026,0.020495377480983734,1.0011932849884033,0.5546042323112488,0.9219564199447632,27.0
ESWW0070020_1,LoFTR + TPS Individual,Leaf ROI,0,6,0.015836307778954506,0.019619183614850044,1.0033925771713257,0.5516621470451355,0.8476726412773132,207.8931427001953
ESWW0070020_1,LoFTR + TPS Individual,Leaf ROI,0,7,0.01324735302478075,0.044158175587654114,1.0023318529129028,0.6189936399459839,0.9366361498832703,25.0
