leaf_uid,registration_method,leaf_scale,pre_rotated,markers,warp_consistency,filtering_strategy,smoothing,fixed_image,moving_image,MSE,MAPE,NCC,MI,MI_Skimage,SSIM,IoU,Hausdorff
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,min_distance,100,0,5,0.01685686968266964,86.96681213378906,0.37610140442848206,1.012860655784607,1.076084320712137,0.520794153213501,0.9677060842514038,11.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,min_distance,100,0,6,0.021197985857725143,98.2418212890625,0.3598557412624359,1.0140286684036255,1.0698621874763592,0.5145435929298401,0.9609514474868774,32.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,min_distance,100,0,7,0.02764081209897995,155.04689025878906,0.3796630799770355,1.0126715898513794,1.0658364649080634,0.487244576215744,0.9606128931045532,33.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,min_distance,100,0,8,0.020327122882008553,106.34237670898438,0.26507341861724854,1.0166770219802856,1.0643608898499133,0.4685707986354828,0.9608591794967651,29.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,min_distance,100,0,9,0.022054137662053108,99.97987365722656,0.24389396607875824,1.0064090490341187,1.065641101204749,0.45391353964805603,0.960088312625885,31.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,min_distance,100,0,10,0.018762847408652306,113.23982238769531,0.15214283764362335,1.0070267915725708,1.0626730512890161,0.39947158098220825,0.9574489593505859,32.0
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,1,0.00599213782697916,62.95355987548828,0.4704059958457947,1.013207197189331,1.0536522323039559,0.579947292804718,0.8390352725982666,461.0511474609375
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,2,0.0025205002166330814,39.556243896484375,0.44698411226272583,1.0285052061080933,1.082994279439487,0.5830402970314026,0.8459521532058716,420.62054443359375
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,3,0.004072897601872683,47.644126892089844,0.36575591564178467,1.0177348852157593,1.0581186008276826,0.5881701111793518,0.9275058507919312,160.11245727539062
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,4,0.017088960856199265,116.79767608642578,0.4319542944431305,1.0282255411148071,1.077336976524371,0.5578950047492981,0.8852109909057617,151.53823852539062
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,5,0.0054786233231425285,59.37089157104492,0.3410199284553528,1.0155783891677856,1.0662698583666992,0.5766711831092834,0.9400889873504639,160.11245727539062
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,6,,,,,,,,
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,7,0.010870171710848808,78.69017028808594,0.3221108615398407,1.0143377780914307,1.0606813232432157,0.4976675808429718,0.8396016359329224,461.0072021484375
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,8,0.010334000922739506,83.16632080078125,0.05077202990651131,1.0033018589019775,1.0359107849888693,0.428316205739975,0.9094808101654053,160.15304565429688
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,9,0.013711424544453621,95.5722885131836,0.13503776490688324,1.0072710514068604,1.042029406476869,0.43118393421173096,0.8312764167785645,487.0316467285156
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,10,0.023871833458542824,118.58378601074219,0.004773138556629419,1.0012807846069336,1.021352528264882,0.33171775937080383,0.9138519167900085,160.0
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,11,0.04774804785847664,187.60427856445312,0.02208789251744747,1.0026050806045532,1.034204181342183,0.3083195090293884,0.8376948237419128,186.53677368164062
