fixed_image,moving_image,background,size,transform,magnitude,total_matches,conf_matches,inliers,MSE,NCC,MI,SSIM
1,13,Original,1/4,,,5935,2904,945,0.04801299795508385,0.02307877503335476,1.0521053075790405,0.6617533564567566
1,13,Eroded+Cropped,1/4,,,147,40,33,0.030060773715376854,0.005679599940776825,1.0484094619750977,0.42414939403533936
1,13,Eroded+Cropped,1/4,,,255,85,50,0.02487638033926487,0.012257548980414867,1.0553748607635498,0.47165951132774353
1,13,Eroded+Cropped,1/4,,,276,87,61,0.022520216181874275,0.017814647406339645,1.0657904148101807,0.48887428641319275
1,13,Eroded+Cropped,1/4,,,620,251,230,0.019546005874872208,0.022512972354888916,1.0829150676727295,0.4991215765476227
1,13,Eroded+Cropped,1/4,,,566,255,118,0.01997789554297924,0.045263342559337616,1.0840789079666138,0.519136369228363
1,13,Eroded+Cropped,1/4,,,279,94,54,0.016513651236891747,0.0048942966386675835,1.1016972064971924,0.5054357051849365
1,13,Eroded+Cropped,1/4,,,165,34,37,0.033673904836177826,0.0005786094116047025,1.0415284633636475,0.40661484003067017
1,13,Original,1/4,,,5935,2904,945,0.04801299795508385,0.02307877503335476,1.0521053075790405,0.6617533564567566
1,13,Eroded,1/4,,,146,16,18,0.007665405515581369,0.0009463133756071329,1.042937994003296,0.9022163152694702
1,13,Eroded,1/4,,,274,70,55,0.001634277869015932,0.0028988586273044348,1.1092063188552856,0.9420307874679565
1,13,Eroded,1/4,,,485,167,86,0.0018918052082881331,0.004972388502210379,1.103634238243103,0.9397591948509216
1,13,Eroded,1/4,,,595,237,232,0.0026403439696878195,0.007349164225161076,1.1005390882492065,0.9346492290496826
1,13,Eroded,1/4,,,569,240,127,0.0018534765113145113,0.004922921769320965,1.1057945489883423,0.9412734508514404
1,13,Eroded,1/4,,,381,122,87,0.0017499013338238,0.004407758824527264,1.1089911460876465,0.9414528608322144
1,13,Eroded,1/4,,,202,47,48,0.003027563914656639,0.0029552557971328497,1.0750312805175781,0.9343046545982361
1,13,Eroded,1/4,,,146,16,18,0.007665405515581369,0.0009463133756071329,1.042937994003296,0.9022163152694702
1,13,Eroded,1/4,,,274,70,55,0.001634277869015932,0.0028988586273044348,1.1092063188552856,0.9420307874679565
1,13,Eroded,1/4,,,485,167,86,0.0018918052082881331,0.004972388502210379,1.103634238243103,0.9397591948509216
1,13,Eroded,1/4,,,595,237,232,0.0026403439696878195,0.007349164225161076,1.1005390882492065,0.9346492290496826
1,13,Eroded,1/4,,,569,240,127,0.0018534765113145113,0.004922921769320965,1.1057945489883423,0.9412734508514404
1,13,Eroded,1/4,,,381,122,87,0.0017499013338238,0.004407758824527264,1.1089911460876465,0.9414528608322144
1,13,Eroded,1/4,,,202,47,48,0.003027563914656639,0.0029552557971328497,1.0750312805175781,0.9343046545982361
1,13,Eroded,1/4,,,146,16,18,0.007665405515581369,0.0009463133756071329,1.042937994003296,0.9022163152694702
1,13,Eroded,1/4,,,274,70,55,0.001634277869015932,0.0028988586273044348,1.1092063188552856,0.9420307874679565
1,13,Eroded,1/4,,,485,167,86,0.0018918052082881331,0.004972388502210379,1.103634238243103,0.9397591948509216
1,13,Eroded,1/4,,,595,237,232,0.0026403439696878195,0.007349164225161076,1.1005390882492065,0.9346492290496826
1,13,Eroded,1/4,,,569,240,127,0.0018534765113145113,0.004922921769320965,1.1057945489883423,0.9412734508514404
1,13,Eroded,1/4,,,381,122,87,0.0017499013338238,0.004407758824527264,1.1089911460876465,0.9414528608322144
1,13,Eroded,1/4,,,202,47,48,0.003027563914656639,0.0029552557971328497,1.0750312805175781,0.9343046545982361
