leaf_uid,registration_method,leaf_scale,pre_rotated,markers,warp_consistency,filtering_strategy,smoothing,fixed_image,moving_image,MSE,MAPE,NCC,MI,MI_Skimage,SSIM,IoU,Hausdorff
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,confidence,100,0,1,0.030799491330981255,157.34194946289062,0.09874240309000015,1.0159616470336914,1.1047156341857278,0.4398112893104553,0.947647213935852,33.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,confidence,100,0,2,0.022268150001764297,103.18338775634766,0.07583120465278625,1.009295105934143,1.0866611435470965,0.4356933832168579,0.9797835350036621,9.765599250793457
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,confidence,100,0,3,0.03162183240056038,167.15853881835938,0.024033980444073677,1.0155588388442993,1.084933052479746,0.38579925894737244,0.9656533598899841,17.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,confidence,100,0,4,0.023776838555932045,101.2827377319336,0.08602289855480194,1.0087437629699707,1.0856554505824987,0.45276933908462524,0.9612278938293457,27.49836540222168
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,confidence,100,0,5,0.0190411563962698,94.3759536743164,0.03726181760430336,1.0077729225158691,1.0869391079271873,0.42056939005851746,0.9709409475326538,14.03566837310791
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,confidence,100,0,6,0.02249354124069214,101.41458129882812,0.0378827266395092,1.013195276260376,1.0907927540432827,0.45225581526756287,0.9777502417564392,16.41774559020996
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,confidence,100,0,7,0.03347885608673096,174.49623107910156,0.03605671599507332,1.0064440965652466,1.075621033794872,0.38187095522880554,0.961571455001831,15.132745742797852
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,confidence,100,0,8,0.022469336166977882,113.80380249023438,0.029695844277739525,1.0142323970794678,1.0793336106800262,0.4035051763057709,0.9685025215148926,34.17551803588867
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,confidence,100,0,9,0.023591728881001472,106.44229888916016,0.03604210540652275,1.0048675537109375,1.0797398726387666,0.42256227135658264,0.9558468461036682,26.925823211669922
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,confidence,100,0,10,0.021931661292910576,124.48217010498047,0.00017309142276644707,1.0058780908584595,1.0696720424422264,0.3647480905056,0.9444161653518677,70.1783447265625
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,confidence,100,0,1,0.030799491330981255,157.34194946289062,0.09874240309000015,1.0159616470336914,1.1047156341857278,0.4398112893104553,0.947647213935852,33.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,confidence,100,0,2,0.023086965084075928,104.85440826416016,0.06895961612462997,1.0063711404800415,1.0807716420369295,0.4274807572364807,0.9696140885353088,12.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,confidence,100,0,3,0.032730184495449066,167.1484375,0.002164975507184863,1.0109111070632935,1.0779765416918503,0.37047725915908813,0.9537245035171509,18.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,confidence,100,0,4,0.0255203265696764,104.40701293945312,0.005038735456764698,1.0039732456207275,1.0718948776276715,0.4049842357635498,0.9380038976669312,25.15152359008789
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,confidence,100,0,5,0.02043984644114971,96.27532958984375,0.006261059083044529,1.0037610530853271,1.0703937585225207,0.38674184679985046,0.9416936039924622,25.01999282836914
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,confidence,100,0,6,0.02409999445080757,104.38052368164062,0.002784545300528407,1.0068225860595703,1.0653698434146448,0.399333655834198,0.9312132596969604,28.861740112304688
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,confidence,100,0,7,0.03462309017777443,175.1513214111328,-0.00037897599395364523,1.0026912689208984,1.0586366662136577,0.33633410930633545,0.9270099997520447,31.016124725341797
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,confidence,100,0,8,0.02422153204679489,115.43754577636719,0.007251156028360128,1.0086716413497925,1.056855354904565,0.35341721773147583,0.9224379658699036,52.08646774291992
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,confidence,100,0,9,0.024775255471467972,107.14463806152344,0.003313203575089574,1.002616286277771,1.0577825444670015,0.36437535285949707,0.9179049730300903,65.0
