leaf_uid,registration_method,leaf_scale,pre_rotated,markers,warp_consistency,filtering_strategy,smoothing,fixed_image,moving_image,MSE,MAPE,NCC,MI,MI_Skimage,SSIM,IoU,Hausdorff
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,1,0.02531333640217781,141.69898986816406,0.5443519353866577,1.0324225425720215,1.1112206855247722,0.6116443872451782,0.9460920095443726,33.69755172729492
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,2,0.019257694482803345,93.54505920410156,0.5813539624214172,1.0130456686019897,1.0738069563722286,0.6113383769989014,0.9738782644271851,11.401754379272461
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,3,0.027413416653871536,152.1099395751953,0.5770400762557983,1.0320802927017212,1.0867780969723149,0.5994154810905457,0.971274197101593,13.03840446472168
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,4,0.022800667211413383,98.85018157958984,0.3681051731109619,1.010164499282837,1.0725882276533831,0.5074647665023804,0.9544090628623962,44.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,5,0.017188915982842445,87.19123840332031,0.3399612307548523,1.010484218597412,1.0756897308564173,0.5153104662895203,0.9690066576004028,13.03840446472168
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,6,0.021172700449824333,97.531982421875,0.3430635631084442,1.0142742395401,1.0771633366113356,0.5180008411407471,0.97153639793396,17.00852394104004
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,7,0.02759632281959057,153.92808532714844,0.2339220494031906,1.0073540210723877,1.0665700589530316,0.4370211362838745,0.9678963422775269,13.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,8,0.021272964775562286,108.624755859375,0.20408573746681213,1.013340950012207,1.0552129303504298,0.4260810315608978,0.945436954498291,46.184326171875
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,9,0.022435881197452545,100.71697235107422,0.1072893738746643,1.0047228336334229,1.064332295458535,0.4059787094593048,0.9602565169334412,15.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,10,0.01942073553800583,114.67373657226562,0.10003901273012161,1.0056153535842896,1.0680051412583766,0.3897346556186676,0.9700285792350769,15.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,grid,100,0,1,0.02531333640217781,141.69898986816406,0.5443519353866577,1.0324225425720215,1.1112206855247722,0.6116443872451782,0.9460920095443726,33.69755172729492
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,grid,100,0,2,0.01977803185582161,95.19818878173828,0.4291447401046753,1.0094817876815796,1.0711431590137637,0.5470571517944336,0.9729268550872803,12.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,grid,100,0,3,0.028162455186247826,154.00425720214844,0.4096111059188843,1.0248284339904785,1.081930466811567,0.5228331685066223,0.9705130457878113,13.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,grid,100,0,4,0.023109665140509605,99.58995056152344,0.26974067091941833,1.008785367012024,1.0763733275289356,0.4759644567966461,0.9636551737785339,20.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,grid,100,0,5,0.017255254089832306,88.53882598876953,0.23984883725643158,1.0093668699264526,1.0723507667187342,0.4603292942047119,0.9637770056724548,15.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,grid,100,0,6,0.02146708220243454,98.87793731689453,0.24120000004768372,1.011988639831543,1.073955822834855,0.48043644428253174,0.9693430066108704,16.76305389404297
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,grid,100,0,7,0.02822921983897686,156.1493682861328,0.22651472687721252,1.008446216583252,1.0655410161716699,0.4222791790962219,0.9649606347084045,12.0962553024292
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,grid,100,0,8,0.020626790821552277,107.3233871459961,0.16758643090724945,1.0141236782073975,1.066327705226408,0.4284203350543976,0.9667105674743652,14.866068840026855
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,grid,100,0,9,0.022321052849292755,100.65971374511719,0.16229650378227234,1.0047332048416138,1.0655976211659592,0.4255165159702301,0.9617123007774353,15.524174690246582
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,grid,100,0,10,0.01898089610040188,113.56796264648438,0.09796815365552902,1.0059750080108643,1.0648809248284896,0.3838137984275818,0.963706910610199,15.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,grid,100,0,1,0.02531333640217781,141.69898986816406,0.5443519353866577,1.0324225425720215,1.1112206855247722,0.6116443872451782,0.9460920095443726,33.69755172729492
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,grid,100,0,2,0.01977803185582161,95.19818878173828,0.4291447401046753,1.0094817876815796,1.0711431590137637,0.5470571517944336,0.9729268550872803,12.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,grid,100,0,3,0.027864404022693634,152.90415954589844,0.4768535792827606,1.0270566940307617,1.0817856822278575,0.5528326034545898,0.9676257371902466,14.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,grid,100,0,4,0.022863026708364487,98.98872375488281,0.3662794828414917,1.0105489492416382,1.0762731499142852,0.5026856064796448,0.9601334929466248,26.028446197509766
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,grid,100,0,5,0.017119495198130608,87.82083129882812,0.29861292243003845,1.0107817649841309,1.0742380781919003,0.4812734127044678,0.966285765171051,11.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,grid,100,0,6,0.021363308653235435,98.68279266357422,0.30514225363731384,1.012837529182434,1.069541605660935,0.49523094296455383,0.9612525105476379,30.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,grid,100,0,7,0.027941588312387466,155.8452606201172,0.3124876320362091,1.0107276439666748,1.0655693563094175,0.45592281222343445,0.9624506235122681,30.012163162231445
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,grid,100,0,8,0.02066454477608204,107.22266387939453,0.18026795983314514,1.01438570022583,1.0639442669117953,0.4273737072944641,0.962489664554596,23.00499725341797
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,grid,100,0,9,0.022235102951526642,100.39936065673828,0.20182400941848755,1.0056155920028687,1.0648961501452872,0.43545353412628174,0.9594910740852356,28.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,grid,100,0,10,0.018953965976834297,113.66880798339844,0.12365780770778656,1.0067517757415771,1.061738535780442,0.3861469626426697,0.9562562108039856,32.21268844604492
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,1,0.005991552956402302,62.972015380859375,0.47434374690055847,1.0131731033325195,1.0534604371081602,0.5800459384918213,0.8384761810302734,463.0234069824219
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,2,0.0024173033889383078,38.98733139038086,0.4711040258407593,1.0305672883987427,1.0841274570250345,0.5888499021530151,0.8379392027854919,459.0687561035156
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,3,0.00404549203813076,47.34793472290039,0.3887713551521301,1.0181804895401,1.0587025341267344,0.5986429452896118,0.9267479181289673,160.11245727539062
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,4,0.01705642230808735,116.67598724365234,0.44413381814956665,1.0285779237747192,1.0778134127895298,0.5643582940101624,0.8858039975166321,152.54417419433594
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,5,0.00548287108540535,59.37224197387695,0.34360048174858093,1.0155977010726929,1.0662257251958889,0.5777139663696289,0.9399511218070984,160.11326599121094
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,6,,,,,,,,
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,7,0.010870171710848808,78.69017028808594,0.3221108615398407,1.0143377780914307,1.0606813232432157,0.4976675808429718,0.8396016359329224,461.0072021484375
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,8,0.010334000922739506,83.16632080078125,0.05077202990651131,1.0033018589019775,1.0359107849888693,0.428316205739975,0.9094808101654053,160.15304565429688
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,9,0.013711424544453621,95.5722885131836,0.13503776490688324,1.0072710514068604,1.042029406476869,0.43118393421173096,0.8312764167785645,487.0316467285156
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,10,0.023871833458542824,118.58378601074219,0.004773138556629419,1.0012807846069336,1.021352528264882,0.33171775937080383,0.9138519167900085,160.0
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,11,0.04774804785847664,187.60427856445312,0.02208789251744747,1.0026050806045532,1.034204181342183,0.3083195090293884,0.8376948237419128,186.53677368164062
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,12,0.021523231640458107,124.42658996582031,0.005043875891715288,1.0019938945770264,1.0251901391802705,0.34520918130874634,0.927523672580719,160.07418823242188
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,13,0.02458088845014572,126.53057861328125,0.0002442844270262867,1.0003130435943604,1.014343661865576,0.3320316672325134,0.7582092881202698,521.5711669921875
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,14,0.04722081869840622,207.1165313720703,0.008287795819342136,1.0009324550628662,1.0125868369094106,0.19515886902809143,0.4235946238040924,278.01617431640625
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,15,0.07009672373533249,248.0517120361328,-0.0004375542339403182,1.0034574270248413,1.0154175116422155,0.25590071082115173,0.6590512990951538,151.79736328125
ESWW0070063_2,LoFTR + TPS Individual,roi,True,True,True,grid,100,0,16,0.05694589018821716,223.1036834716797,-0.0014328137040138245,1.0007755756378174,1.0161340165249741,0.3023504614830017,0.8426949381828308,160.1998748779297
ESWW0070063_2,LoFTR + TPS Sequential,roi,True,True,True,grid,100,0,1,0.005991552956402302,62.972015380859375,0.47434374690055847,1.0131731033325195,1.0534604371081602,0.5800459384918213,0.8384761810302734,463.0234069824219
ESWW0070063_2,LoFTR + TPS Sequential,roi,True,True,True,grid,100,0,2,0.002480846829712391,39.27617645263672,0.4513244330883026,1.0297149419784546,1.082897208459318,0.5800468921661377,0.8350034356117249,463.6534118652344
ESWW0070063_2,LoFTR + TPS Sequential,roi,True,True,True,grid,100,0,3,0.003690501907840371,46.319007873535156,0.4022035002708435,1.0224977731704712,1.0676145027227932,0.5620314478874207,0.838150143623352,463.0509033203125
