leaf_uid,registration_method,leaf_scale,pre_rotated,markers,warp_consistency,filtering_strategy,smoothing,fixed_image,moving_image,MSE,MAPE,NCC,MI,MI_Skimage,SSIM,IoU,Hausdorff
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,clusters,100,0,1,0.025256779044866562,141.5299835205078,0.5455578565597534,1.032378077507019,1.111517820136027,0.6137399673461914,0.9472215175628662,33.13608169555664
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,clusters,100,0,2,0.019251560792326927,93.43991088867188,0.5794588923454285,1.0131624937057495,1.0743760242354028,0.6132910847663879,0.974827766418457,12.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,clusters,100,0,3,0.02747197635471821,152.1008758544922,0.5682185292243958,1.0315436124801636,1.0865503298763683,0.5943065881729126,0.9717392325401306,13.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,clusters,100,0,4,0.022849256172776222,98.9293212890625,0.35671767592430115,1.0096585750579834,1.0720215624488199,0.5011776089668274,0.9545257091522217,41.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,clusters,100,0,5,0.01727958582341671,87.4715805053711,0.3113788068294525,1.0098034143447876,1.0748560923321115,0.49529170989990234,0.968313455581665,13.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,clusters,100,0,6,0.021172700449824333,97.531982421875,0.3430635631084442,1.0142742395401,1.0771633366113356,0.5180008411407471,0.97153639793396,17.00852394104004
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,clusters,100,0,7,0.02759632281959057,153.92808532714844,0.2339220494031906,1.0073540210723877,1.0665700589530316,0.4370211362838745,0.9678963422775269,13.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,clusters,100,0,8,0.021272964775562286,108.624755859375,0.20408573746681213,1.013340950012207,1.0552129303504298,0.4260810315608978,0.945436954498291,46.184326171875
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,clusters,100,0,9,0.022435881197452545,100.71697235107422,0.1072893738746643,1.0047228336334229,1.064332295458535,0.4059787094593048,0.9602565169334412,15.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,clusters,100,0,10,0.01942073553800583,114.67373657226562,0.10003901273012161,1.0056153535842896,1.0680051412583766,0.3897346556186676,0.9700285792350769,15.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,clusters,100,0,1,0.025256779044866562,141.5299835205078,0.5455578565597534,1.032378077507019,1.111517820136027,0.6137399673461914,0.9472215175628662,33.13608169555664
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,clusters,100,0,2,0.01963205449283123,94.89630889892578,0.45654556155204773,1.0100120306015015,1.071693748236478,0.558292806148529,0.9733026027679443,12.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,clusters,100,0,3,0.027988648042082787,153.8072509765625,0.45002156496047974,1.0264256000518799,1.082768935600983,0.5457475781440735,0.9703047871589661,13.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,clusters,100,0,4,0.022962285205721855,99.2425537109375,0.30854570865631104,1.0094411373138428,1.075433725853877,0.48571091890335083,0.9612741470336914,24.2387638092041
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,clusters,100,0,5,0.01713194139301777,88.33904266357422,0.26824814081192017,1.009962797164917,1.071801551201409,0.4706557095050812,0.9625517129898071,16.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,clusters,100,0,6,0.021397048607468605,98.87486267089844,0.27754130959510803,1.012506365776062,1.0734766569545056,0.49018776416778564,0.9687223434448242,16.76305389404297
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,clusters,100,0,7,0.02805781550705433,156.0393524169922,0.27283063530921936,1.009403109550476,1.064792651112356,0.4415301978588104,0.9625792503356934,14.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,clusters,100,0,8,0.020589325577020645,107.26473236083984,0.18113923072814941,1.0144391059875488,1.0643400670915764,0.43002793192863464,0.9630670547485352,15.033296585083008
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,clusters,100,0,9,0.022320466116070747,100.81063842773438,0.15253846347332,1.0046961307525635,1.0640943948770547,0.41661736369132996,0.9590299129486084,15.033296585083008
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,clusters,100,0,10,0.018883539363741875,113.44212341308594,0.08973841369152069,1.0061426162719727,1.063575162341364,0.3762117028236389,0.9604661464691162,18.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,clusters,100,0,1,0.025256779044866562,141.5299835205078,0.5455578565597534,1.032378077507019,1.111517820136027,0.6137399673461914,0.9472215175628662,33.13608169555664
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,clusters,100,0,2,0.01963205449283123,94.89630889892578,0.45654556155204773,1.0100120306015015,1.071693748236478,0.558292806148529,0.9733026027679443,12.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,clusters,100,0,3,0.027688147500157356,152.4937744140625,0.4953440725803375,1.0280075073242188,1.0823523124971266,0.567084014415741,0.9676753878593445,15.0
